,Unnamed: 0,ts,ID,DLC,bin
4942,0,0.0,217,8,1111111111111111000000110000000000000000000000000000000001100000
25179,3,0.002734,17A,8,0011001000000110010100001010101000000000001100000011001000000000
31811,5,0.003156,0C6,8,0111110101011111100000000000000010000000000000011010111001110100
6749,6,0.003403,12E,8,1100101110000000000000000111111111100000111111111111111100000000
21514,7,0.003651,17E,8,100011111111
28190,8,0.003896,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19711,9,0.004133,211,8,0100011000000000111111111111111100001010000000000000000011101011
2847,10,0.004379,242,8,0000000000000000111111111110111111111110000000000000110100000000
10372,12,0.00477,29C,8,0000000000000000000000000000000011111111111111110000000000000000
2094,13,0.00502,354,8,0
604,14,0.00599,3B7,6,001100111111111101000001010011110111111101000110
16700,15,0.007385,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
11877,17,0.007833,189,8,0011001000000010110001010011110010010000110000100000000000000000
46585,18,0.009999,2C6,7,10110110001100100000100000000000000001101111011000000100
42369,4,0.010033,357,6,010011010100010000000000000001110111101000000000
4346,19,0.010041,4F8,8,0101100000010000001100001111111111111111000000111111111100000000
25180,20,0.012737,17A,8,0011001000000110010100001010101000000000001100000011001000000000
31812,22,0.013161,0C6,8,0111110101011111100000000000000010000000000000011011000001110010
6750,23,0.013406,12E,8,1100101010000000000000000111111111100000111111111111111100000000
21515,24,0.013654,17E,8,100011111111
28191,25,0.013901,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14886,26,0.014146,29A,8,10011111011
16399,28,0.014556,350,8,1100011100100011010111010110001100010100110010001001010010000101
16701,31,0.016934,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
11878,33,0.01738,189,8,0011001000000010110001010011110010010000110000100000000000000000
4943,35,0.018966,217,8,1111111111111111000000110000000000000000000000000000000001100000
31509,38,0.019515,500,5,0000001011011000110110000100111101110010
46586,2,0.019998,2C6,7,10101101111111111111111111111111111111111111111111110000
39051,30,0.020027,352,5,1001100100010000101100110101001011001000
42370,29,0.020067,357,6,110100010000110000001110000000000000000011110000
25181,41,0.022731,17A,8,0011001000000110010100001010101000000000001100000011001000000000
31813,43,0.023149,0C6,8,0111110101011111100000000000000010000000000000011011001001110000
6751,44,0.023393,12E,8,1100101010000000000000000111111111100000111111111111111100000000
21516,45,0.023641,17E,8,100011111111
28192,46,0.023887,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19712,47,0.024123,211,8,0100011000000000111111111111111100001010000000000000000011101100
2848,48,0.02437,242,8,0000000000000000111111111110111111111110000000000000110100000000
10373,50,0.02476,29C,8,0000000000000000000000000000000011111111111111110000000000000000
37239,27,0.025014,392,6,000001010000000011100000111111111111111000000001
31207,52,0.025168,55D,8,0000011000011101111101000000111110010001100000000000000010000000
16702,53,0.026815,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
11879,55,0.027261,189,8,0011001000000010110001010011110010010000110000100000000000000000
46587,34,0.029997,2C6,7,10110110001100100000100000000000000001101111011000000100
42371,21,0.0301,357,6,010011010100010000000000000010001101100100000000
25182,63,0.03274,17A,8,0011001000000110010100001010101000000000001100000011001000000000
31814,65,0.033161,0C6,8,0111110101011111100000000000000010000000000000011011010001101110
6752,66,0.033408,12E,8,1100101110000000000000000111111111100000111111111111111100000000
21517,67,0.033656,17E,8,100011111111
28193,68,0.033903,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14887,69,0.034149,29A,8,10111111010
16703,73,0.03697,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
11880,75,0.037416,189,8,0011001000000010110001010011110010010000110000100000000000000000
4944,77,0.039024,217,8,1111111111111111000000110000000000000000000000000000000001100000
302,80,0.0395,2B9,3,101110110000010000000000
46588,37,0.039996,2C6,7,10101101111111111111111111111111111111111111111111110000
39052,51,0.040054,352,5,0101100001011101000000000000000001000100
42372,72,0.040134,357,6,110100010000110000001110000000000000000011110000
25183,81,0.042722,17A,8,0011001000000110010100001010101000000000001100000011001000000000
31815,83,0.043142,0C6,8,0111110101011111100000000000000010000000000000011011011001101100
6753,84,0.043389,12E,8,1100101110000000000000000111111111100000111111111111111100000000
21518,85,0.043637,17E,8,100011111111
28194,86,0.043883,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19713,87,0.044119,211,8,0100011000000000111111111111111100001010000000000000000011101011
2849,88,0.044366,242,8,0000000000000000111111111110111111111110000000000000110100000000
10374,90,0.044756,29C,8,0000000000000000000000000000000011111111111111110000000000000000
2095,91,0.045006,354,8,0
16704,92,0.047345,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
11881,94,0.047796,189,8,0011001000000010110001010011110010010000110000100000000000000000
0,96,0.048937,5DE,8,1000010
35125,98,0.049721,4DE,3,110000000000000000000000
50811,11,0.049984,563,3,001101000000000000000000
35427,1,0.049984,1A0,2,111000011111110
51415,112,0.049993,41D,4,01101011111111001010010000000000
50207,16,0.049993,511,8,0101001000011001101111000011000110100011001000000000000000100010
46589,56,0.049996,2C6,7,10110110001100100000100000000000000001101111011000000100
36635,201,0.050002,671,2,10000100000000
40559,181,0.050007,653,5,0110111000010000000100000000000000000000
41163,62,0.050018,552,3,011010100000010100100000
45379,111,0.050018,303,8,0111111000000000000000000000100100110000000110011111000011000110
38447,185,0.050018,204,4,01001110011010001001100000000000
37240,39,0.050029,392,6,011011110000000000000110000000000000000000000000
36031,61,0.050029,668,3,000100100000000000000000
45983,57,0.050144,45C,7,10100100011000100000101011100001000000000000000000000001
42373,42,0.050167,357,6,010011010100010000000000000010011001010100000000
41767,58,0.050168,666,5,0110011010000000000000000000000000000000
49605,134,0.050185,575,3,001100100000100000000000
9768,99,0.052766,4AD,8,0000000011111111111111110000000000000000000000000000000000000000
31816,101,0.053189,0C6,8,0111110101011111100000000000000010000000000000011011100001101010
6754,102,0.053429,12E,8,1100101010000000000000010111111111100000111111111111111100000000
25184,103,0.053665,17A,8,0011001000000110010100001010101000000000001100000011001000000000
21519,104,0.053913,17E,8,100011111111
