,Unnamed: 0,ts,ID,DLC,bin
48211,51373,25.059051,500,6,000011010001000010010001010011010010000001100000
7724,51353,25.062651,12E,8,1100101110000000000000010111111111100000111111111111111100000000
32468,51355,25.063073,0C6,8,0111110110001010011111111111011010000000000000011010001001100000
26138,51356,25.063309,17A,8,0011001000000110010100001010101000000000001100000011001000000000
44578,20541,25.063406,41A,5,0101010101011101000000000000000001000010
43314,51297,25.063478,357,6,000110010000110000001110000000000000000011110000
22470,51357,25.063557,17E,8,100011111111
29147,51358,25.063803,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19419,51359,25.064039,211,8,0100011000000000111111111111111100001010000000000000000011101100
3164,51360,25.064286,242,8,0000000000000000111111111110111111111110000000000000110100000000
40006,51298,25.0643,392,6,101000000000000000000110000000000000000000000000
10092,51362,25.064676,29C,8,0000000000000000000000000000000011111111111111110000000000000000
12847,51367,25.065617,189,8,0011001000000010110001110011110010110000110000100000000000000000
46262,51304,25.066097,68B,7,00100100011000100000101011100010000000000000000000000001
17660,51370,25.066228,1F6,8,0000000000100000100000000010010000000000111111111111111111111110
34630,51413,25.067083,5D7,8,1001110100000000000100000110001000011100001111111001000001011101
23587,51374,25.068596,2BC,8,1001010000000001000010000101001011010011101101010110001110111001
35536,51423,25.069483,564,3,000101010001110000000000
36793,51351,25.071898,2B9,4,10010101110000000000000000000000
45253,51287,25.072301,634,5,0010001000000000000000010110100000000000
7725,51375,25.072634,12E,8,1100101110000000000000000111111111100000111111111111111100000000
32469,51377,25.073056,0C6,8,0111110110001010100000000000101010000000000000011010010001001001
26139,51378,25.073292,17A,8,0011001000000110010100001010101000000000001100000011001000000000
43315,25593,25.073511,357,6,000101100100000100000000000010000000101000000000
22471,51379,25.073541,17E,8,100011111111
29148,51380,25.073787,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14604,51381,25.074033,29A,8,100111110110
12848,51385,25.074852,189,8,0011001000000010110001110011110010110000110000100000000000000000
17661,51387,25.0753,1F6,8,0000000000100000100000000010010000000000111111111111111111111110
717,51388,25.075548,3F7,8,0000100000000000000001000000000000000000000000000000000000000000
4964,51390,25.076617,217,8,1111111111111111000000110000000000000000000000000000000001100000
7726,51394,25.082629,12E,8,1100101110000000000000000111111111100000111111111111111100000000
32470,51396,25.083047,0C6,8,0111110110001010100000000001010010000000000000011010011000111101
26140,51397,25.083283,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22472,51398,25.083531,17E,8,100011111111
43316,51343,25.083545,357,6,000110010000110000001110000000000000000011110000
29149,51400,25.083941,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19420,51401,25.084177,211,8,0100011000000000111111111111111100001010000000000000000011101010
36190,51371,25.084183,4FA,3,111010000000100000000000
3165,51402,25.084424,242,8,0000000000000000111111111110111111111110000000000000110100000000
10093,51404,25.084814,29C,8,0000000000000000000000000000000011111111111111110000000000000000
1791,51405,25.085064,354,8,0
12849,51407,25.085513,189,8,0011001000000010110001110011110010110000110000100000000000000000
33776,51207,25.085838,3B7,7,00101010001100111111111101000001010011110111111101000110
17662,51409,25.085959,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
19922,51412,25.086954,5000000000.0,8,0000000000111000000000000000000000000000000110000000000000000000
