,Unnamed: 0,ts,ID,DLC,bin
4255,27341,26.658871,25,8,0000000000000001000000000000000110101111111111110000000011011101
24462,27342,26.659542,0AA,8,0010010110100100001001011010011100100101100011100010010110001100
29568,27345,26.668865,24,8,0000001000000001000000100000110001000010000000001000000011111111
4256,27346,26.669108,25,8,0000000000000001000000000000000110101111111111110000000011011101
24463,27347,26.669525,0AA,8,0010010110100011001001011010001000100101100010110010010110001011
19924,27348,26.670514,0B4,8,0000000000000000000000000000000011101100000010101111011110101001
9232,27349,26.670801,260,8,0000000000000000000000000000000000000000111111111011100000100001
33026,27353,26.673976,1C4,8,0001000011101000000110110000000000000000000000000000000011100000
17476,27355,26.674515,226,8,0000000000000000000100000000000000000000000000000000000000000000
12177,27358,26.677973,2C1,8,0000100011111111111101110000000000000110110000000000000010001111
4257,27360,26.678847,25,8,0000000000000001000000000000000110101111111111110000000011011101
24464,27361,26.679513,0AA,8,0010010110100011001001011010000100100101100010100010010110001011
15167,27362,26.679956,1C6,8,0000000000000000100000000000000111011111000101000000000000000000
149,27364,26.681515,3B7,8,1000
29569,27368,26.688726,24,8,0000001000000001000000100000100001000010000000001000000011111011
4258,27369,26.688968,25,8,0000000000000001000000000000000110101111111111110000000011011101
24465,27370,26.689501,0AA,8,0010010110100001001001011010001000100101100011010010010110010011
19925,27371,26.69049,0B4,8,0000000000000000000000000000000011110000000010101111011110101101
9233,27372,26.690735,260,8,0000000000000000000000000000000000000000111111111011100000100001
856,27374,26.692494,320,8,0000000000100000000000000000000000000000000000000000000001001011
33027,27375,26.693954,1C4,8,0001000011010110000110110000000000000000000000000000000011001110
31269,27377,26.697143,4A6,8,0000000000000000000000000000000000000000000011100000000000000000
11052,27378,26.697411,620,8,0001000000000000000000000000000000000000000000000000000000000000
4259,27380,26.699849,25,8,0000000000000001000000000000000110101111111111110000000011011101
24466,27381,26.700461,0AA,8,0010010110011110001001011001111000100101100010110010010110010001
17477,27385,26.703485,226,8,0000000000000000000100000000000000000000000000000000000000000000
12178,27387,26.70817,2C1,8,0000100011111111110010101111111111000111110000000000000000100010
29570,27389,26.70872,24,8,0000001000000001000000100000100001000010000000011000000011111100
4260,27390,26.708964,25,8,0000000000000001000000000000000110101111111111110000000011011101
24467,27391,26.709452,0AA,8,0010010110011001001001011001101000100101100001110010010110001111
15168,27392,26.709935,1C6,8,0000000000000000100000000000000111011111000101000000000000000000
19926,27393,26.710466,0B4,8,0000000000000000000000000000000011110100000010101111011110110001
9234,27394,26.710711,260,8,0000000000000000000000000000000000000000111111111011100000100001
33028,27397,26.713932,1C4,8,0001000011000011000110110000000000000000000000000000000010111011
4261,27402,26.718795,25,8,0000000000000001000000000000000110101111111111110000000011011101
24468,27403,26.719467,0AA,8,0010010110010100001001011001011100100101100011010010010110001101
4262,27405,26.728817,25,8,0000000000000001000000000000000110011111111111110000000011001101
24469,27406,26.72943,0AA,8,0010010110010011001001011001100000100101100010000010010110001101
29571,27407,26.729671,24,8,0000001000000001000000100000010101000010000000011000000011111001
19927,27408,26.730441,0B4,8,0000000000000000000000000000000011110100000010101111011110110001
9235,27409,26.730682,260,8,0000000000000000000000000000000000000000111111111010110100010110
33029,27413,26.7339,1C4,8,0001000010110001000110110000000000000000000000000000000010101001
17478,27416,26.734496,226,8,0000000000000000000100000000000000000000000000000000000000000000
12179,27418,26.737904,2C1,8,0000100011111111011111011111111101111101110000000000000010001011
4263,27420,26.738778,25,8,0000000000000001000000000000000110011111111111110000000011001101
24470,27422,26.739465,0AA,8,0010010110010010001001011001001100100101100000110010010110001110
15169,27423,26.739885,1C6,8,0000000000000000100000000000000111011111000101000100000000000000
857,27425,26.741433,320,8,0000000000100000000000000000000000000000000000000000000001001011
35159,3370,26.744604,3D3,3,001000110000001000000000
29572,27427,26.748661,24,8,0000001000000001000000100000001101000010000000011000000011110111
4264,27428,26.748904,25,8,0000000000000001000000000000000110011111111111110000000011001101
24471,27429,26.749433,0AA,8,0010010110010011001001011001010100100101100000110010010110001110
19928,27430,26.750424,0B4,8,0000000000000000000000000000000011111000000010101111000110101111
9236,27432,26.750848,260,8,0000000000000000000000000000000000000000111111111010110100010110
33030,27435,26.753893,1C4,8,0001000010101000000110110000000000000000000000000000000010100000
31459,27437,26.754318,44D,8,0100001000000010000000000000000000000001000000000000000000000000
13984,27438,26.75862,38E,8,0
4265,27440,26.759781,25,8,0000000000000001000000000000000110011111111111110000000011001101
24472,27441,26.760391,0AA,8,0010010110010101001001011001011000100101100001010010010110001011
17479,27444,26.763411,226,8,0000000000000000000100000000000000000000000000000000000000000000
12180,27446,26.768132,2C1,8,0000100011111111010010101111111100110111110000000000000000010010
29573,27448,26.768654,24,8,0000001000000001000000100000000001000010000000001000000011110011
4266,27449,26.768896,25,8,0000000000000001000000000000000110011111111111110000000011001101
24473,27450,26.76938,0AA,8,0010010110010110001001011001111100100101100001010010010110001100
15170,27451,26.769868,1C6,8,0000000000000000100000000000000111010111000101000100000000000000
19929,27452,26.770395,0B4,8,0000000000000000000000000000000011111100000010101110011010101000
9237,27453,26.770664,260,8,0000000000000000000000000000000000000000111111111010110100010110
33031,27456,26.77386,1C4,8,0001000010010111000110110000000000000000000000000000000010001111
4267,27459,26.778737,25,8,0000000000000001000000000000000110011111111111110000000011001101
24474,27460,26.779398,0AA,8,0010010110011010001001011001110100100101100001000010010110000111
35836,27743,26.782634,3BB,5,1100001000000000000000001010010100000000
29574,27465,26.788621,24,8,0000001000000000000000100000000001000010000000011000000011110011
4268,27466,26.788863,25,8,0000000000000001000000000000000110011111111111110000000011001101
24475,27467,26.789384,0AA,8,0010010110011010001001011001111000100101100001000010010110001001
19930,27468,26.790373,0B4,8,0000000000000000000000000000000000000000000010101110011010101100
9238,27469,26.790615,260,8,0000000000000000000000000000000000000000111111111010110100010110
33032,27473,26.793842,1C4,8,0001000010001110000110110000000000000000000000000000000010000110
17480,27475,26.794372,226,8,0000000000000000000100000000000000000000000000000000000000000000
858,27476,26.795369,320,8,0000000000100000000000000000000000000000000000000000000001001011
12181,27478,26.797837,2C1,8,0000100011111111000101111111111011101101110000000000000010010100
4269,27480,26.798711,25,8,0000000000000001000000000000000110011111111111110000000011001101
24476,27481,26.799387,0AA,8,0010010110011000001001011001100000100101100011000010010110001111
15171,27483,26.799818,1C6,8,0000000000000000100000000000000111001011000101010100000000000000
29575,27488,26.808597,24,8,0000001000000000000000100000000101000010000000011000000011110100
4270,27489,26.808839,25,8,0000000000000001000000000000000110011111111111110000000011001101
24477,27490,26.809334,0AA,8,0010010110011001001001011001000100100101100010000010010110001000
19931,27491,26.810351,0B4,8,0000000000000000000000000000000000000000000010101110011010101100
9239,27492,26.810593,260,8,0000000000000000000000000000000000000000111111111010110100010110
33033,27494,26.813824,1C4,8,0001000001110110000110110000000000000000000000000000000001101110
28049,27496,26.814231,6C0,8,1110010000000000000000001110000010000000000000000000000000000000
13729,27498,26.818553,3A5,8,100000000
4271,27500,26.819709,25,8,0000000000000001000000000000000110011111111111110000000011001101
24478,27501,26.820326,0AA,8,0010010110011010001001011001001000100101100001000010010110001101
17481,27504,26.823341,226,8,0000000000000000000100000000000000000000000000000000000000000000
12182,27505,26.827791,2C1,8,0000100011111110111011011111111011000111110000000000000001000011
29576,27507,26.828597,24,8,0000001000000000000000100000000101000010000000001000000011110011
4272,27508,26.82884,25,8,0000000000000001000000000000000110011111111111110000000011001101
7827,27509,26.82908,610,8,0010000000000000000111000110010011000000000000000110001101000000
24479,27510,26.829313,0AA,8,0010010110010100001001011001001000100101100001110010010110000011
15172,27511,26.829801,1C6,8,0000000000000000100000000000000110111111000101010100000000000000
19932,27512,26.830327,0B4,8,0000000000000000000000000000000000000100000010101110011010110000
9240,27513,26.830569,260,8,0000000000000000000000000000000000000000111111111010110100010110
16452,27517,26.833627,3F9,8,0111010100011000000000100000001010000000000000000000000000010101
33034,27518,26.83387,1C4,8,0001000001011011000110110000000000000000000000000000000001010011
35526,6900,26.836085,423,2,101100001111
4273,27521,26.839687,25,8,0000000000000001000000000000000110011111111111110000000011001101
24480,27522,26.840303,0AA,8,0010010110010010001001011001100000100101100001100010010101111010
31337,27523,26.840903,640,8,1010100000000000000000000011011100000001110111100000000000000000
859,27524,26.841318,320,8,0000000000100000000000000000000000000000000000000000000001001011
35023,27527,26.848527,413,8,0000000100000001000000010000100100000000000000000000000000000000
29577,27528,26.848767,24,8,0000001000000001000000011111111101000010000000001000000011110001
4274,27529,26.849012,25,8,0000000000000001000000000000000110011111111111110000000011001101
24481,27531,26.849418,0AA,8,0010010110001100001001011001001000100101100001110010010110000000
19933,27532,26.850302,0B4,8,0000000000000000000000000000000000001000000010101110011010110100
9241,27533,26.850548,260,8,0000000000000000000000000000000000000000111111111011100000100001
33035,27537,26.85378,1C4,8,0001000001001110000110110000000000000000000000000000000001000110
17482,27539,26.854304,226,8,0000000000000000000100000000000000000000000000000000000000000000
14106,27542,26.855873,442,8,0100001100000010000000000000000000000010000000000000000000000000
12183,27543,26.857895,2C1,8,0000100011111110110011011111111010110111110000000000000000010011
4275,27545,26.858637,25,8,0000000000000001000000000000000110011111111111110000000011001101
24482,27546,26.859309,0AA,8,0010010110000011001001011000001000100101100001110010010101111000
15173,27547,26.859753,1C6,8,0000000000000000100000000000000110110111000101010100000000000000
29578,27551,26.868531,24,8,0000001000000000000000011111110101000001111111111000000011101100
4276,27552,26.868775,25,8,0000000000000001000000000000000110011111111111110000000011001101
24483,27554,26.86927,0AA,8,0010010101111100001001010111011100100101100000000010010101111001
9242,27555,26.870237,260,8,0000000000000000000000000000000000000000111111111010110100010110
19934,27556,26.87048,0B4,8,0000000000000000000000000000000000001100000010101110000010110010
33036,27558,26.873759,1C4,8,0001000000111110000110110000000000000000000000000000000000110110
4277,27561,26.878616,25,8,0000000000000001000000000000000110011111111111110000000011001101
24484,27562,26.879282,0AA,8,0010010101110110001001010111010100100101011111100010010101111001
17483,27566,26.882275,226,8,0000000000000000000100000000000000000000000000000000000000000000
12184,27567,26.887725,2C1,8,0000100011111110101011011111111010100000110000000000000011011100
29579,27569,26.888509,24,8,0000001000000000000000011111011001000010000000001000000011100111
4278,27570,26.888751,25,8,0000000000000001000000000000000110011111111111110000000011001101
24485,27571,26.889277,0AA,8,0010010101110010001001010111000000100101011110000010010101111000
15174,27572,26.889731,1C6,8,0000000000000000100000000000000110110111000101010100000000000000
9243,27573,26.890189,260,8,0000000000000000000000000000000000000000111111111010110100010110
19935,27574,26.890429,0B4,8,0000000000000000000000000000000000010000000010101101101110110001
860,27577,26.893257,320,8,0000000000100000000000000000000000000000000000000000000001001011
33037,27578,26.893734,1C4,8,0001000000111100000110110000000000000000000000000000000000110100
4279,27582,26.899619,25,8,0000000000000000000000000000000101111111111111110000000010101100
24486,27583,26.900229,0AA,8,0010010101101100001001010110110100100101011011000010010101110010
29580,27586,26.908481,24,8,0000001000000001000000011110110101000010000000111000000011100010
4280,27587,26.908724,25,8,0000000000000000000000000000000101111111111111110000000010101100
24487,27588,26.909251,0AA,8,0010010101100011001001010110110000100101011100110010010101101111
9244,27589,26.910088,260,8,0000000000000000000000000000000000000000111111111010110100010110
35837,314,26.91017,3BB,5,0000011100000000000000000000011100101011
19936,27590,26.91033,0B4,8,0000000000000000000000000000000000010000000010101101000010100110
33038,27595,26.913718,1C4,8,0001000001000000000110110000000000000000000000000000000000111000
17484,27598,26.914313,226,8,0000000000000000000100000000000000000000000000000000000000000000
12185,27600,26.917704,2C1,8,0000100011111110100011011111111010010100110000000000000010110000
4281,27602,26.918571,25,8,0000000000000000000000000000000101111111111111110000000010101100
24488,27603,26.919237,0AA,8,0010010101100100001001010110011000100101011001100010010101101101
15175,27604,26.919687,1C6,8,0000000000000000100000000000000110110111000101010100000000000000
29581,27607,26.928461,24,8,0000001000000001000000011110100001000010000001011000000011011111
4282,27608,26.928705,25,8,0000000000000000000000000000000101111111111111110000000010101100
24489,27609,26.929198,0AA,8,0010010101011011001001010110000100100101011000100010010101101110
9245,27610,26.930052,260,8,0000000000000000000000000000000000000000111111111010110100010110
19937,27611,26.930293,0B4,8,0000000000000000000000000000000000010100000010101100010010011110
27825,27614,26.932213,420,8,0000000000000000000000000000000011111111000000001000000010101011
33039,27616,26.933687,1C4,8,0001000001010001000110110000000000000000000000000000000001001001
4283,27620,26.938549,25,8,0000000000000000000000000000000101111111111111110000000010101100
24490,27621,26.939213,0AA,8,0010010101011001001001010101100100100101010111110010010101100011
17485,27624,26.942205,226,8,0000000000000000000100000000000000000000000000000000000000000000
